lever,served_delta_pct,mean_wait_delta_pct,p90_wait_delta_pct,csat_delta_pts
matching,1.9,-36.51,-3.93,-6.31
appointment_smoothing,-0.32,-5.86,0.29,0.17
prep_in_queue,3.19,-52.76,-39.46,0.58
deflection,-1.39,-9.95,-6.71,0.06
running_late,0.09,0.66,0.71,0.01
